 7.907271714903298E+015 8.646592937982461E+016
 1.420270056582015E+016 9.107143247630037E+016
 2.547961074567360E+016 9.890993563146358E+016
 3.981682264401682E+016 1.075700976072528E+017
 5.690191376828427E+016 1.170354881556250E+017
 7.654265451039552E+016 1.274588715303340E+017
 9.599860210203197E+016 1.376766030932819E+017
 1.155356233044224E+017 1.480654780397585E+017
 1.332679854443288E+017 1.582847529366856E+017
 1.493003707060287E+017 1.680642582811118E+017
 1.629201644362924E+017 1.773284323588259E+017
 1.757510123007267E+017 1.862774285284700E+017
 1.873534805143037E+017 1.952057548820026E+017
 1.965479730154214E+017 2.036065781156081E+017
 2.058898158888309E+017 2.112880286502616E+017
 2.138618479714590E+017 2.183783923080121E+017
 2.208926769768630E+017 2.242776883903894E+017
 2.277251901209226E+017 2.303276212270987E+017
 2.342000743425771E+017 2.356615846132809E+017
 2.398530376863141E+017 2.413822941989200E+017
 2.446550813400102E+017 2.461468470054218E+017
 2.500002576988919E+017 2.510247312688702E+017
 2.551627380454220E+017 2.553827961031383E+017
 2.602367733453021E+017 2.594583310578008E+017
 2.639984324622618E+017 2.653822783338463E+017
 2.683570157831628E+017 2.702141573118179E+017
 2.723292580001062E+017 2.728051569251755E+017
 2.754633448945804E+017 2.775203079634236E+017
 2.790299123635363E+017 2.806295197730588E+017
 2.836808723818625E+017 2.841589334003491E+017
 2.868103499399002E+017 2.853407686561119E+017
 2.892453034433334E+017 2.873164563973374E+017
 2.916242570224712E+017 2.913619654616140E+017
 2.944450003620419E+017 2.955929861554579E+017
 2.976117371329903E+017 2.980641717407622E+017
 3.009359090059192E+017 3.001503456843345E+017
 3.036555195460265E+017 3.044542052892831E+017
 3.057107439577036E+017 3.055921638251711E+017
 3.079813110309857E+017 3.077333435446776E+017
 3.110887519838335E+017 3.105223441573430E+017
 3.135233379354425E+017 3.144985720173994E+017
 3.155143368680388E+017 3.167483113028174E+017
 3.178874355079366E+017 3.178696620709672E+017
 3.199293086450216E+017 3.204732121860112E+017
 3.210605035638383E+017 3.221150368682478E+017
 3.232453751799804E+017 3.245740392663042E+017
 3.257667748606588E+017 3.253681941603707E+017
 3.274910129560350E+017 3.272204982441683E+017
 3.290197552383049E+017 3.312925753023427E+017
 3.314165620786004E+017 3.314723108369477E+017
 3.327578500414875E+017 3.332596725915392E+017
 3.343234112136090E+017 3.349493968955526E+017
 3.358935737262975E+017 3.361281940953124E+017
 3.373754742321016E+017 3.376006902904229E+017
 3.385265168113449E+017 3.379770344099525E+017
 3.406820173487379E+017 3.418698737988660E+017
 3.419121830545676E+017 3.411002321490383E+017
 3.432158754412678E+017 3.410657365274022E+017
 3.444021560657135E+017 3.457486863505418E+017
 3.462895898849967E+017 3.467672587777208E+017
 3.472211889973132E+017 3.492708312523725E+017
 3.486143478544371E+017 3.494450234107546E+017
 3.500871428199028E+017 3.509854162055850E+017
