  3.380797514037244E-009          10         224
  9.656996055965813E-009           6          92
  2.493470460343166E-009           7         118
  3.614033344369203E-009           7         120
  5.956883628061485E-009           6          90
  2.682594919815219E-009           7         118
  2.268240243271196E-009           7         120
  6.684388258262433E-009           7         120
  5.400298426100197E-009           7         120
  9.719089272346632E-009           6          94
  2.272941473381596E-009           7         118
  2.360353836943852E-009           7         118
  2.513487512203607E-009           8         146
  6.568342249945951E-009           7         120
  3.473358560971064E-009           6          92
  5.687396446363571E-009           7         120
  2.542054068970161E-009           8         148
  2.561059918501470E-009           7         120
  4.099179248608492E-009           7         118
  9.257123154818051E-009           7         122
  1.908046146912028E-009           7         118
  4.000416901608367E-009           7         120
