   5.77528315E-10   8.79940144E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
   1.44439832E-06   9.67875495E+01   1.21091496E+02   4.52817198E+01   2.51486893E+01   6.51155706E-01   0.00000000E+00
   2.88821910E-06   1.04319837E+02   1.23091894E+02   2.59230366E+01   1.63903517E+01   2.34650705E-02   0.00000000E+00
   4.33203989E-06   1.08760602E+02   1.35804095E+02   1.42374315E+01   1.10579145E+01   1.44896810E+00   0.00000000E+00
   5.77586068E-06   1.07986254E+02   1.38772427E+02   9.43882461E+00   8.55301820E+00   2.51076254E+00   0.00000000E+00
   7.21968147E-06   1.07053518E+02   1.41711427E+02   6.85180058E+00   6.26517382E+00   2.83340726E+00   0.00000000E+00
   8.66350226E-06   1.05205644E+02   1.41060271E+02   5.43216382E+00   4.07705600E+00   2.89206994E+00   0.00000000E+00
   1.01073230E-05   1.03692147E+02   1.41365317E+02   5.96012791E+00   3.06805797E+00   3.29097614E+00   0.00000000E+00
   1.15511438E-05   1.02694881E+02   1.38860421E+02   6.72860896E+00   3.27337733E+00   4.76927558E+00   0.00000000E+00
   1.29949646E-05   1.02706614E+02   1.38619904E+02   7.09818382E+00   3.11498811E+00   3.60188832E+00   0.00000000E+00
   1.44387854E-05   9.99553340E+01   1.37587441E+02   7.27417185E+00   3.65468473E+00   3.98906198E+00   0.00000000E+00
   1.58826062E-05   9.91809867E+01   1.37769295E+02   7.20964291E+00   3.52562684E+00   3.36137135E+00   0.00000000E+00
   1.73264270E-05   1.00248647E+02   1.35950752E+02   6.89286446E+00   3.50216177E+00   3.53735938E+00   0.00000000E+00
   1.87702478E-05   9.99142702E+01   1.36953884E+02   6.63474868E+00   3.52562684E+00   3.73681248E+00   0.00000000E+00
   2.02140686E-05   9.94860326E+01   1.36337926E+02   6.91046326E+00   3.42590029E+00   3.44936536E+00   0.00000000E+00
   2.16578893E-05   9.87879468E+01   1.36807227E+02   7.08645129E+00   3.24404600E+00   3.47283043E+00   0.00000000E+00
   2.31017101E-05   9.85767611E+01   1.35745433E+02   6.38249917E+00   3.52562684E+00   3.79547515E+00   0.00000000E+00
   2.45455309E-05   9.93100446E+01   1.36261664E+02   6.49395826E+00   3.27337733E+00   3.59602205E+00   0.00000000E+00
   2.59893517E-05   9.86764877E+01   1.36549111E+02   6.69341136E+00   3.24991226E+00   3.28510987E+00   0.00000000E+00
   2.74331725E-05   9.95564278E+01   1.37898353E+02   6.54675467E+00   3.28510987E+00   3.52562684E+00   0.00000000E+00
   2.88769933E-05   1.00019863E+02   1.36425920E+02   6.40596424E+00   3.36723762E+00   3.46696417E+00   0.00000000E+00
   3.03208141E-05   9.92865795E+01   1.36032880E+02   6.24757502E+00   3.21471466E+00   3.44349910E+00   0.00000000E+00
   3.17646349E-05   9.86882202E+01   1.35774764E+02   6.42942932E+00   3.51389431E+00   3.57255698E+00   0.00000000E+00
   3.32084556E-05   9.75794956E+01   1.35311329E+02   6.48222572E+00   3.03286036E+00   3.70748114E+00   0.00000000E+00
   3.46522764E-05   9.94156374E+01   1.35727834E+02   6.59955108E+00   3.33790628E+00   3.15605198E+00   0.00000000E+00
   3.60960972E-05   9.90225975E+01   1.35135341E+02   5.99532551E+00   3.21471466E+00   3.40243522E+00   0.00000000E+00
   3.75399180E-05   9.89170047E+01   1.36197135E+02   6.61128361E+00   3.19124959E+00   3.61362086E+00   0.00000000E+00
   3.89837388E-05   9.94332362E+01   1.35469718E+02   6.35316784E+00   3.17365078E+00   3.62535339E+00   0.00000000E+00
   4.04275596E-05   9.80957272E+01   1.36625373E+02   6.40596424E+00   3.06219170E+00   3.40243522E+00   0.00000000E+00
   4.18713804E-05   9.91751204E+01   1.36285129E+02   6.50569079E+00   3.29684240E+00   3.56082445E+00   0.00000000E+00
   4.33152012E-05   9.87996793E+01   1.37282395E+02   6.42356305E+00   3.42590029E+00   3.66055100E+00   0.00000000E+00
   4.47590220E-05   9.98497412E+01   1.35264399E+02   6.38249917E+00   3.23817973E+00   3.43763283E+00   0.00000000E+00
   4.62028427E-05   9.81543899E+01   1.36249932E+02   6.43529558E+00   3.17951705E+00   3.43763283E+00   0.00000000E+00
   4.76466635E-05   9.89228709E+01   1.35534247E+02   6.59368481E+00   3.20884839E+00   3.47869670E+00   0.00000000E+00
   4.90904843E-05   9.93863061E+01   1.34748167E+02   6.34143530E+00   3.42590029E+00   3.55495818E+00   0.00000000E+00
   5.05343051E-05   9.84946334E+01   1.34654307E+02   6.42356305E+00   3.26751107E+00   3.53735938E+00   0.00000000E+00
   5.19781259E-05   9.88466095E+01   1.36472850E+02   6.43529558E+00   3.13258691E+00   3.41416776E+00   0.00000000E+00
   5.34219467E-05   9.94977652E+01   1.35692636E+02   6.50569079E+00   3.46109790E+00   3.66055100E+00   0.00000000E+00
   5.48657675E-05   9.99787991E+01   1.36285129E+02   6.31210396E+00   3.26751107E+00   3.47283043E+00   0.00000000E+00
   5.63095883E-05   9.74797691E+01   1.34560447E+02   6.52328960E+00   3.34963881E+00   3.66055100E+00   0.00000000E+00
   5.77534090E-05   9.81778549E+01   1.35393457E+02   6.02465685E+00   3.32030747E+00   3.59602205E+00   0.00000000E+00
   5.91972298E-05   9.87996793E+01   1.34143942E+02   6.52915586E+00   3.31444121E+00   3.42590029E+00   0.00000000E+00
   6.06410506E-05   9.98966714E+01   1.35598776E+02   6.28277262E+00   3.48456297E+00   3.79547515E+00   0.00000000E+00
   6.20848714E-05   9.86588889E+01   1.34695371E+02   6.05398819E+00   3.34377255E+00   3.78374262E+00   0.00000000E+00
   6.35286922E-05   9.84887671E+01   1.36056345E+02   6.65821375E+00   3.34377255E+00   3.59602205E+00   0.00000000E+00
   6.49725130E-05   9.98204099E+01   1.37036012E+02   6.57608601E+00   3.20884839E+00   3.74267874E+00   0.00000000E+00
   6.64163338E-05   9.86940865E+01   1.36150205E+02   6.35316784E+00   3.18538332E+00   3.49042924E+00   0.00000000E+00
   6.78601546E-05   9.88994059E+01   1.34237802E+02   6.34730157E+00   3.23231346E+00   3.74854501E+00   0.00000000E+00
   6.93039753E-05   1.00500897E+02   1.34648441E+02   6.16544727E+00   3.17365078E+00   3.24991226E+00   0.00000000E+00
   7.07477961E-05   1.01586156E+02   1.37129872E+02   6.17131354E+00   3.58428952E+00   3.50216177E+00   0.00000000E+00
   7.21916169E-05   1.00178252E+02   1.34806830E+02   6.22997622E+00   3.52562684E+00   3.43763283E+00   0.00000000E+00
   7.36354377E-05   9.87058190E+01   1.36625373E+02   6.07745326E+00   3.43176656E+00   3.61948712E+00   0.00000000E+00
   7.50792585E-05   9.97500147E+01   1.35962485E+02   6.41183051E+00   3.20884839E+00   3.54909191E+00   0.00000000E+00
   7.65230793E-05   9.91692542E+01   1.37170936E+02   6.07158699E+00   3.13258691E+00   3.51976057E+00   0.00000000E+00
   7.79669001E-05   9.98732063E+01   1.36877622E+02   6.37663291E+00   3.33204001E+00   3.62535339E+00   0.00000000E+00
   7.94107209E-05   9.83831743E+01   1.35745433E+02   6.57021974E+00   3.41416776E+00   3.95973065E+00   0.00000000E+00
   8.08545416E-05   9.86706214E+01   1.36027014E+02   6.42356305E+00   3.43176656E+00   3.47869670E+00   0.00000000E+00
   8.22983624E-05   9.72275196E+01   1.34055948E+02   5.97772671E+00   3.26164480E+00   3.71334741E+00   0.00000000E+00
   8.37421832E-05   9.92279169E+01   1.37000814E+02   6.29450516E+00   3.31444121E+00   3.61948712E+00   0.00000000E+00
   8.51860040E-05   9.97500147E+01   1.37112273E+02   6.48222572E+00   3.59015579E+00   3.55495818E+00   0.00000000E+00
   8.66298248E-05   9.93100446E+01   1.36197135E+02   6.42356305E+00   3.13845318E+00   3.69574860E+00   0.00000000E+00
   8.80736456E-05   9.90049987E+01   1.35581177E+02   6.42356305E+00   3.37897015E+00   3.56669072E+00   0.00000000E+00
   8.95174664E-05   9.93276434E+01   1.36654704E+02   6.44116185E+00   3.37310388E+00   3.44349910E+00   0.00000000E+00
   9.09612872E-05   9.91927192E+01   1.36249932E+02   6.41183051E+00   3.48456297E+00   3.67814980E+00   0.00000000E+00
   9.24051079E-05   9.91516554E+01   1.35716101E+02   6.15958100E+00   3.34963881E+00   3.46109790E+00   0.00000000E+00
   9.38489287E-05   9.75149667E+01   1.34771632E+02   6.49982453E+00   3.14431945E+00   3.90106797E+00   0.00000000E+00
   9.52927495E-05   9.90812602E+01   1.35997682E+02   6.88113192E+00   3.61948712E+00   3.50802804E+00   0.00000000E+00
   9.67365703E-05   9.69518050E+01   1.35194004E+02   6.11265086E+00   3.63121966E+00   3.47869670E+00   0.00000000E+00
   9.81803911E-05   9.81074597E+01   1.34718836E+02   6.07158699E+00   3.35550508E+00   3.68401607E+00   0.00000000E+00
   9.96242119E-05   9.83245116E+01   1.34143942E+02   6.35903410E+00   3.34963881E+00   3.66055100E+00   0.00000000E+00
